Year,price_to_earning,price_to_book,dividend,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth,ticker,value_before_ebitda,days_receivable,days_inventory,days_payable,ebit_on_interest,current_payment,quick_payment,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,ebitda_on_stock_change
2021,18.9,4.6,0.031,0.258,0.091,3415,14127,,,,,,0.334,,,0.7,0.059,3.0,,,,,,,,,1.5,,-0.016,,FPT,16.5,42.0,23.0,47.0,11.2,1.2,1.1,8346.0,0.382,0.152,0.122,0.9,0.4,2.3,7.8,5357.0,0.253,0.054,19.0,8.6,-0.28,0.7,0.7,0.152,1.2,0.001
2020,12.7,2.9,0.049,0.238,0.094,3225,14352,,,,,,0.377,,,0.8,-0.067,2.7,,,,,,,,,1.2,,-0.067,,FPT,12.4,35.0,26.0,55.0,11.9,1.1,1.1,8336.0,0.396,0.154,0.119,0.7,0.3,1.7,17.8,2901.0,0.252,0.072,6.0,10.3,-0.363,0.7,0.7,0.154,1.1,-0.021
2019,12.0,2.7,0.048,0.237,0.099,3455,15388,,,,,,0.418,,,1.0,0.197,2.4,,,,,,,,,1.0,,0.12,,FPT,7.8,75.0,28.0,55.0,11.6,1.2,1.1,8516.0,0.386,0.15,0.113,0.5,0.2,1.3,21.5,2877.0,0.206,0.1,48.0,4.9,-0.432,0.8,1.5,0.15,1.1,0.137
2018,9.1,1.9,0.2,0.219,0.096,2887,13744,,,,,,0.419,,,1.0,-0.106,2.4,,,,,,,,,1.0,,0.091,,FPT,8.4,83.0,30.0,59.0,13.1,1.3,1.2,7490.0,0.376,0.134,0.113,0.5,0.2,1.4,18.0,3955.0,0.266,0.128,54.0,4.4,-0.377,0.8,1.5,0.134,1.2,-0.118
2017,9.1,2.3,0.25,0.28,0.107,3230,12594,,,,,,0.457,,,1.1,0.473,2.2,,,,,,,,,0.9,,0.2,,FPT,8.0,42.0,31.0,37.0,8.6,1.4,1.4,8494.0,0.227,0.074,0.069,0.4,0.2,1.7,7.3,4960.0,0.263,0.114,36.0,8.7,-0.21,1.7,1.5,0.074,1.3,-0.086
2016,8.6,1.8,0.2,0.22,0.071,2193,10496,,,,,,0.319,,,0.6,0.031,3.1,,,,,,,,,1.6,,0.11,,FPT,6.4,43.0,58.0,39.0,8.1,1.3,1.0,9293.0,0.213,0.077,0.05,0.9,0.3,2.4,12.6,4479.0,0.525,0.28,61.0,8.5,-0.312,1.3,1.5,0.077,1.0,-0.061
2015,8.1,1.8,0.2,0.234,0.079,2127,9455,,,,,,0.329,,,0.6,0.183,3.0,,,,,,,,,1.6,,0.084,,FPT,6.7,40.0,59.0,34.0,11.2,1.3,0.9,9893.0,0.197,0.077,0.051,0.9,0.3,2.1,13.3,3991.0,0.352,0.185,65.0,9.0,-0.487,1.5,1.5,0.077,1.0,0.063
2014,,,0.2,0.216,0.081,1798,8720,,,,,,0.349,,,0.7,0.015,2.9,,,,,,,,,1.4,,0.284,,FPT,6.1,42.0,55.0,34.0,14.1,1.3,0.9,9309.0,0.19,0.072,0.05,0.7,0.3,1.9,47.2,3739.0,0.468,0.263,62.0,8.6,-0.436,1.4,1.5,0.072,1.1,-0.08
2013,,,0.3,0.24,0.101,1771,6791,,,,,,0.351,,,0.8,0.044,2.9,,,,,,,,,1.3,,0.17,,FPT,5.5,46.0,51.0,33.0,17.6,1.4,1.1,10123.0,0.205,0.086,0.059,0.6,0.2,1.3,75.2,3840.0,0.382,0.198,64.0,7.9,-0.299,1.5,1.6,0.086,1.1,-0.058
2012,,,0.2,0.263,0.106,1697,5806,,,,,,0.371,,,0.9,-0.084,2.7,,,,,,,,,1.2,,0.094,,FPT,4.5,46.0,55.0,30.0,9.8,1.5,1.1,10741.0,0.191,0.091,0.063,0.5,0.2,1.4,131.2,3410.0,0.375,0.216,72.0,7.9,-0.274,1.7,1.6,0.091,1.1,-0.251
2011,,,0.2,0.354,0.123,1853,5307,,,,,,0.322,,,0.6,0.33,3.1,,,,,,,,,1.6,,0.651,,FPT,4.3,39.0,51.0,21.0,10.3,1.3,1.0,14345.0,0.195,0.101,0.066,0.8,0.3,1.6,17023.8,2897.0,0.526,0.27,69.0,9.4,-0.216,1.7,1.5,0.101,1.0,0.051
2010,,,0.15,0.358,0.111,1393,3215,,,,,,0.237,,,0.5,0.189,4.2,,,,,,,,,1.8,,0.23,,FPT,6.6,39.0,44.0,26.0,8.3,1.6,1.2,13643.0,0.199,0.098,0.063,1.1,0.4,1.9,1.5,3400.0,0.361,0.117,57.0,9.4,-0.438,1.6,1.6,0.098,1.0,-0.098
2009,,,0.25,0.385,0.129,1171,2614,,,,,,0.228,,,0.5,0.272,4.4,,,,,,,,,2.1,,0.244,,FPT,6.0,34.0,33.0,28.0,16.9,1.7,1.4,15131.0,0.2,0.101,0.058,1.3,0.4,1.2,1.2,3180.0,0.748,0.206,39.0,10.7,-0.499,1.8,1.6,0.101,0.9,0.022
2008,,,0.26,0.379,0.146,921,2101,,,,,,0.311,,,0.8,0.134,3.2,,,,,,,,,1.3,,0.124,,FPT,,34.0,36.0,29.0,18.5,1.5,1.1,14801.0,0.182,0.091,0.051,0.5,0.2,0.7,8426.6,1498.0,0.511,,41.0,10.7,-0.737,2.7,1.5,0.091,0.8,-0.012
2007,,,0.36,0.416,0.168,812,1869,,,,,,0.317,,,0.6,0.637,3.2,,,,,,,,,1.6,,0.176,,FPT,,41.0,32.0,25.0,,1.4,1.0,14983.0,0.145,0.072,0.055,0.7,0.2,0.9,22.9,1315.0,0.452,,48.0,8.9,-0.759,2.5,1.4,0.072,1.1,0.302
2006,,,0.06,0.407,0.16,496,1589,,,,,,0.423,,,0.9,0.606,2.4,,,,,,,,,1.1,,1.376,,FPT,,22.0,9.0,8.0,9.6,1.9,1.6,11505.0,0.063,0.026,0.021,0.5,0.2,1.3,5.4,1480.0,0.428,,22.0,16.9,-0.823,6.3,1.4,0.026,1.1,0.14
2005,,,,0.585,0.147,309,669,,,,,,0.274,,,0.4,0.604,3.7,,,,,,,,,2.4,,0.946,,FPT,,21.0,10.0,9.0,11.7,1.4,1.2,10094.0,0.065,0.026,0.02,1.5,0.4,2.0,6.7,613.0,0.642,,23.0,17.4,-0.858,6.4,1.2,0.026,0.9,-0.097
2004,,,,0.722,0.136,192,343,,,,,,0.197,,,0.2,2.983,5.1,,,,,,,,,4.1,,0.809,,FPT,,22.0,13.0,12.0,9.9,1.4,1.0,11180.0,0.062,0.025,0.02,2.3,0.5,2.4,3.4,397.0,1.194,,23.0,16.3,-0.704,5.5,1.1,0.025,0.9,0.261
2024,33.3,3.6,,0.114,0.042,1477,13503,,,,,,0.37,,,0.9,-0.038,2.7,,,,,,,,,1.2,,0.096,,CMG,9.7,32.0,13.0,48.0,5.3,1.3,1.2,4674.0,0.182,0.052,0.039,0.5,0.2,2.0,1.0,801.0,0.184,0.099,-4.0,11.5,-0.244,1.0,0.7,0.052,1.1,0.072
2023,25.5,3.2,,0.129,0.046,1535,12324,,,,,,0.358,,,0.8,0.077,2.8,,,,,,,,,1.2,,0.072,,CMG,14.0,37.0,15.0,51.0,3.6,1.2,1.1,4358.0,0.184,0.05,0.043,0.5,0.2,2.1,1.2,583.0,0.186,0.072,1.0,10.0,-0.384,1.0,0.8,0.05,1.1,-0.236
2022,19.8,2.5,0.021,0.131,0.047,1425,11501,,,,,,0.351,,,0.8,0.146,2.8,,,,,,,,,1.3,,0.008,,CMG,11.2,51.0,21.0,50.0,4.7,1.3,1.2,5707.0,0.187,0.055,0.04,0.5,0.2,2.0,0.6,922.0,0.121,0.059,22.0,7.1,-0.238,1.1,0.7,0.055,1.0,0.019
2021,25.2,2.7,,0.114,0.043,1244,11414,,,,,,0.362,,,0.8,0.098,2.8,,,,,,,,,1.3,,-0.123,,CMG,15.0,71.0,25.0,52.0,4.9,1.5,1.3,5603.0,0.177,0.056,0.04,0.5,0.2,2.4,0.7,1217.0,0.151,0.055,44.0,5.2,-0.53,1.0,0.6,0.056,1.1,0.222
2020,30.8,2.7,,0.088,0.035,1132,13017,,,,,,0.384,,,0.9,-0.172,2.6,,,,,,,,,1.2,,-0.319,,CMG,10.1,89.0,23.0,55.0,3.0,1.5,1.4,4585.0,0.188,0.05,0.035,0.5,0.2,2.6,0.8,1047.0,0.154,0.104,57.0,4.1,-0.392,1.0,0.6,0.05,1.2,-0.105
2019,25.5,1.8,0.029,0.092,0.033,1367,19123,,,,,,0.405,,,0.9,-0.007,2.5,,,,,,,,,1.1,,0.813,,CMG,9.3,86.0,25.0,48.0,4.2,1.8,1.6,5123.0,0.182,0.052,0.027,0.5,0.2,2.1,0.6,1356.0,0.119,0.094,63.0,4.2,-0.394,1.1,2.0,0.052,1.0,-0.038
2018,15.7,2.0,0.15,0.135,0.041,1377,10548,,,,,,0.294,,,0.6,-0.203,3.4,,,,,,,,,1.6,,0.068,,CMG,9.3,80.0,22.0,51.0,5.2,1.2,1.0,5326.0,0.159,0.043,0.028,0.5,0.2,1.8,1.5,301.0,0.141,0.074,51.0,4.5,-0.34,1.4,1.7,0.043,1.1,0.007
2017,13.7,2.4,0.08,0.184,0.062,1728,9880,,,,,,0.317,,,0.7,0.499,3.2,,,,,,,,,1.5,,0.103,,CMG,5.6,61.0,19.0,39.0,8.2,1.2,1.0,5288.0,0.154,0.047,0.035,0.5,0.2,1.4,2.7,258.0,0.281,0.19,42.0,5.9,-0.341,1.6,1.5,0.047,1.1,0.381
2016,10.0,1.3,0.1,0.132,0.05,1153,8957,,,,,,0.361,,,0.9,-0.108,2.8,,,,,,,,,1.2,,0.052,,CMG,4.6,50.0,19.0,26.0,6.2,1.2,1.1,3829.0,0.133,0.039,0.027,0.3,0.2,1.5,3.0,288.0,0.139,0.167,43.0,7.3,-0.273,1.7,1.6,0.039,1.1,0.442
2015,8.4,1.3,0.08,0.17,0.067,1292,8510,,,,,,0.402,,,1.1,0.851,2.5,,,,,,,,,1.0,,0.394,,CMG,6.6,49.0,21.0,27.0,7.3,1.4,1.2,2655.0,0.16,0.049,0.035,0.4,0.2,2.5,1.9,353.0,0.156,0.176,43.0,7.5,-0.213,1.7,1.2,0.049,0.9,0.589
2014,,,,0.11,0.041,698,6107,,,,,,0.348,,,0.6,1.575,2.9,,,,,,,,,1.5,,0.096,,CMG,10.6,51.0,23.0,32.0,2.8,1.4,1.1,1670.0,0.161,0.037,0.023,0.7,0.3,4.7,1.1,248.0,0.157,0.13,42.0,7.2,-0.196,1.7,1.3,0.037,0.8,0.27
2013,,,,0.045,0.016,271,5570,,,,,,0.335,,,0.6,-1.285,3.0,,,,,,,,,1.7,,-0.039,,CMG,9.1,69.0,47.0,52.0,1.8,1.2,1.0,1315.0,0.139,0.042,0.013,0.9,0.3,7.1,2.4,146.0,0.24,0.476,64.0,5.3,-0.203,1.3,1.4,0.042,0.4,-9.107
2012,,,,-0.146,-0.054,-950,5797,,,,,,0.317,,,0.5,4.561,3.2,,,,,,,,,2.0,,-0.154,,CMG,-97.9,68.0,57.0,34.0,-0.2,1.2,0.9,-162.0,0.1,-0.004,-0.036,1.1,0.4,-66.1,2.8,167.0,0.141,0.241,92.0,5.3,-0.016,1.4,1.0,-0.004,8.8,-1.093
2011,,,,-0.024,-0.009,-171,6854,,,,,,0.4,,,0.7,-1.245,2.5,,,,,,,,,1.5,,-0.043,,CMG,8.3,78.0,55.0,19.0,0.8,1.4,0.9,1742.0,0.11,0.038,-0.006,1.1,0.4,8.1,5.0,386.0,0.089,0.156,114.0,4.7,-0.169,1.8,1.5,0.038,-0.2,-0.447
2010,,,,0.094,0.032,699,7162,,,,,,0.332,,,0.5,-0.433,3.0,,,,,,,,,2.0,,-0.055,,CMG,12.3,87.0,48.0,21.0,1.9,1.3,1.0,3148.0,0.117,0.057,0.02,1.5,0.5,5.5,3.6,404.0,0.178,0.11,114.0,4.2,-0.252,1.6,1.3,0.057,0.5,-0.055
2009,,,0.17,0.172,0.064,1233,7576,,,,,,0.35,,,0.5,0.408,2.9,,,,,,,,,1.8,,0.142,,CMG,13.1,78.0,58.0,24.0,4.0,1.4,1.0,3330.0,0.123,0.062,0.036,1.4,0.5,4.2,3.8,515.0,0.208,0.087,113.0,4.6,-0.581,1.6,1.2,0.062,0.7,0.337
2024,40.0,0.8,,0.023,0.012,463,23141,,,,,,0.537,,,1.2,-0.28,1.9,,,,,,,,,0.9,,0.326,,KSB,20.8,756.0,41.0,47.0,0.8,1.9,1.9,1427.0,0.443,0.266,0.132,0.4,0.2,8.1,1.0,945.0,0.006,0.009,750.0,0.5,-5.704,0.1,0.6,0.266,0.8,-0.627
2023,35.1,1.3,,0.037,0.017,644,17456,,,,,,0.467,,,0.9,-0.515,2.1,,,,,,,,,1.1,,0.029,,KSB,11.9,495.0,36.0,44.0,1.1,1.6,1.5,3828.0,0.452,0.332,0.14,0.6,0.3,3.9,1.9,717.0,0.052,0.043,486.0,0.7,-2.772,0.1,0.7,0.332,0.6,-0.285
2022,11.9,0.9,,0.082,0.037,1328,16959,,,,,,0.457,,,0.8,-0.599,2.2,,,,,,,,,1.2,,-0.276,,KSB,7.4,337.0,23.0,29.0,1.7,1.5,1.5,5354.0,0.369,0.26,0.177,0.6,0.3,2.3,2.1,717.0,0.063,0.065,330.0,1.1,-5.26,0.2,0.8,0.26,0.8,-0.162
2021,13.7,1.9,,0.15,0.064,3313,23433,,,,,,0.449,,,0.8,-0.229,2.2,,,,,,,,,1.2,,0.129,,KSB,7.9,382.0,34.0,25.0,3.1,1.7,1.7,6387.0,0.466,0.334,0.286,0.4,0.2,1.5,1.1,869.0,0.053,0.032,390.0,1.0,-1.477,0.2,0.8,0.334,1.0,-0.431
2020,6.7,1.4,,0.228,0.083,4295,20760,,,,,,0.404,,,0.7,-0.046,2.5,,,,,,,,,1.5,,0.18,,KSB,3.7,231.0,40.0,27.0,4.5,1.7,1.7,11216.0,0.456,0.334,0.248,0.4,0.2,1.2,1.2,980.0,0.096,0.083,244.0,1.6,-0.755,0.3,0.8,0.334,0.9,0.162
2019,2.9,0.7,,0.286,0.096,4504,17590,,,,,,0.326,,,0.5,0.009,3.1,,,,,,,,,2.1,,0.266,,KSB,3.3,51.0,43.0,27.0,6.1,1.4,1.4,9649.0,0.488,0.353,0.251,0.7,0.2,1.5,2.4,696.0,0.108,0.154,67.0,7.2,-1.487,0.3,1.3,0.353,0.9,0.051
2018,4.3,1.4,,0.368,0.151,4463,13896,,,,,,0.352,,,0.5,0.18,2.8,,,,,,,,,1.8,,0.343,,KSB,4.0,48.0,35.0,20.0,13.6,2.5,2.4,9182.0,0.488,0.353,0.28,0.6,0.2,0.7,0.1,1052.0,0.123,0.092,63.0,7.5,-3.952,0.4,1.3,0.353,1.0,-0.084
2017,7.6,2.8,0.15,0.405,0.231,3782,10347,,,,,,0.53,,,1.1,0.347,1.9,,,,,,,,,0.9,,0.245,,KSB,4.1,35.0,31.0,13.0,,5.0,4.6,10019.0,0.397,0.298,0.253,0.0,0.0,0.0,,556.0,0.417,0.18,52.0,10.5,-1.05,0.8,1.3,0.298,1.1,-0.134
2016,7.6,2.6,0.3,0.363,0.227,2807,8311,,,,,,0.626,,,1.7,0.642,1.6,,,,,,,,,0.6,,0.164,,KSB,6.8,39.0,34.0,15.0,,3.5,3.0,11574.0,0.404,0.292,0.242,0.0,0.0,0.0,,254.0,0.13,0.039,58.0,9.5,-0.665,0.9,1.3,0.292,1.0,0.256
2015,6.4,1.5,0.3,0.248,0.155,1709,7141,,,,,,0.624,,,1.7,0.295,1.6,,,,,,,,,0.6,,0.077,,KSB,5.3,48.0,39.0,18.0,,2.7,2.3,9217.0,0.358,0.215,0.17,0.0,0.0,0.0,,198.0,0.335,0.159,69.0,7.6,-0.37,0.9,1.3,0.215,1.0,0.104
2014,,,0.3,0.205,0.132,1320,6631,,,,,,0.623,,,1.7,0.162,1.6,,,,,,,,,0.6,,0.064,,KSB,3.0,63.0,43.0,18.0,,2.7,2.2,8351.0,0.352,0.189,0.155,0.0,0.0,0.0,,192.0,0.261,0.231,88.0,5.8,-0.356,0.8,1.3,0.189,1.1,0.049
2013,,,0.3,0.184,0.121,1136,6232,,,,,,0.662,,,2.0,-0.079,1.5,,,,,,,,,0.5,,0.022,,KSB,2.5,78.0,39.0,14.0,,4.5,3.7,7963.0,0.357,0.205,0.155,0.0,0.0,0.0,,181.0,0.183,0.192,103.0,4.7,-0.222,0.8,1.4,0.205,1.0,-0.206
2012,,,0.3,0.207,0.134,1233,6097,,,,,,0.647,,,1.8,-0.247,1.5,,,,,,,,,0.5,,0.054,,KSB,1.8,75.0,32.0,13.0,,3.1,2.7,10028.0,0.342,0.206,0.159,0.0,0.0,0.0,,172.0,0.201,0.253,94.0,4.9,-0.398,0.8,1.3,0.206,1.0,-0.367
2011,,,0.29,0.299,0.192,1637,5788,,,,,,0.647,,,1.8,-0.047,1.5,,,,,,,,,0.5,,0.121,,KSB,1.8,55.0,27.0,13.0,,3.2,2.8,15854.0,0.377,0.261,0.217,0.0,0.0,0.0,,179.0,0.245,0.243,69.0,6.6,-0.285,0.8,1.3,0.261,1.1,0.096
2010,,,0.5,0.37,0.234,1717,5162,,,,,,0.635,,,1.7,0.362,1.6,,,,,,,,,0.6,,0.255,,KSB,3.0,41.0,20.0,14.0,,2.7,2.5,14462.0,0.388,0.268,0.253,0.0,0.0,0.0,,162.0,0.421,0.248,47.0,8.9,-0.499,0.8,1.2,0.268,1.1,0.143
2009,,,0.25,0.389,0.209,1261,4113,,,,,,0.626,,,1.7,0.279,1.6,,,,,,,,,0.6,,0.731,,KSB,4.4,52.0,27.0,135.0,,1.2,1.1,12657.0,0.409,0.282,0.268,0.0,0.0,0.0,,32.0,0.399,0.201,-56.0,7.0,-0.657,0.7,1.1,0.282,1.1,-0.013
2008,,,,0.473,0.236,985,2375,,,,,,0.431,,,0.8,0.55,2.3,,,,,,,,,1.3,,0.324,,KSB,,52.0,23.0,126.0,,1.0,0.9,12825.0,0.388,0.235,0.219,0.1,0.0,0.1,,1.0,0.676,,-52.0,7.1,-0.755,0.8,1.2,0.235,1.1,0.679
2024,11.7,1.3,,0.12,0.031,1547,13632,,,,,,0.277,,,0.6,1.296,3.6,,,,,,,,,1.6,,0.125,,VCG,12.4,128.0,234.0,74.0,3.6,1.4,0.8,3357.0,0.154,0.12,0.072,0.8,0.3,5.2,1.0,4776.0,0.222,0.194,289.0,2.8,-0.162,0.4,0.7,0.12,0.9,0.138
2023,32.7,1.8,,0.057,0.013,674,12115,,,,,,0.236,,,0.5,-0.484,4.2,,,,,,,,,2.0,,0.058,,VCG,16.7,165.0,221.0,76.0,1.4,1.3,0.8,2951.0,0.093,0.092,0.032,1.1,0.4,8.2,1.2,4259.0,0.261,0.226,310.0,2.2,-0.203,0.4,0.7,0.092,0.5,0.5
2022,10.7,1.2,,0.116,0.025,1306,11453,,,,,,0.214,,,0.4,0.771,4.7,,,,,,,,,2.2,,-0.075,,VCG,26.6,281.0,255.0,71.0,0.8,1.6,1.0,1967.0,0.108,0.075,0.093,1.4,0.4,13.8,0.7,7211.0,0.172,0.184,466.0,1.3,-0.543,0.3,0.8,0.075,1.5,-0.046
2021,55.4,3.3,0.044,0.061,0.016,737,12386,,,,,,0.214,,,0.3,-0.777,4.7,,,,,,,,,3.1,,-0.054,,VCG,25.2,325.0,211.0,114.0,1.3,1.4,1.2,2063.0,0.144,0.114,0.069,1.5,0.4,8.8,0.8,5826.0,0.369,0.217,422.0,1.1,-0.549,0.2,0.5,0.114,1.1,-2.902
2020,11.5,2.9,0.032,0.244,0.082,3302,13094,,,,,,0.324,,,0.6,1.134,3.1,,,,,,,,,1.7,,-0.149,,VCG,-45.7,287.0,176.0,178.0,-2.9,1.5,1.2,-1085.0,0.151,,0.289,0.6,0.2,-9.3,1.0,4405.0,0.279,0.105,285.0,1.3,-0.079,0.3,0.8,,-2.9,-1.437
2019,16.5,1.7,0.024,0.102,0.035,1547,15384,,,,,,0.352,,,0.7,0.382,2.8,,,,,,,,,1.5,,0.012,,VCG,14.5,156.0,128.0,140.0,2.9,1.6,1.3,2483.0,0.138,0.083,0.072,0.6,0.2,3.8,0.9,4332.0,0.174,0.117,144.0,2.3,-0.156,0.5,1.4,0.083,1.2,0.157
2018,18.2,1.3,0.12,0.075,0.024,1119,15199,,,,,,0.332,,,0.6,-0.634,3.0,,,,,,,,,1.6,,0.026,,VCG,17.2,159.0,153.0,126.0,2.5,1.3,1.0,2147.0,0.124,0.071,0.05,0.5,0.2,4.0,1.4,3188.0,0.172,0.111,187.0,2.3,-0.119,0.5,1.6,0.071,1.2,-0.373
2017,6.3,1.3,0.12,0.215,0.06,3058,14819,,,,,,0.301,,,0.6,1.685,3.3,,,,,,,,,1.8,,0.087,,VCG,7.6,138.0,156.0,117.0,4.0,1.2,0.9,3423.0,0.162,0.104,0.123,0.5,0.2,2.8,1.5,2553.0,0.286,0.28,177.0,2.6,-0.221,0.5,1.5,0.104,1.7,0.18
2016,9.7,0.8,0.08,0.084,0.023,1138,13627,,,,,,0.262,,,0.5,0.279,3.8,,,,,,,,,2.1,,0.014,,VCG,7.6,162.0,176.0,115.0,3.2,1.2,0.8,2900.0,0.168,0.105,0.058,0.6,0.2,3.5,1.2,2087.0,0.211,0.229,223.0,2.3,-0.135,0.4,1.7,0.105,0.9,0.068
2015,9.8,0.6,0.07,0.067,0.018,890,13445,,,,,,0.284,,,0.5,0.255,3.5,,,,,,,,,1.8,,0.016,,VCG,6.2,184.0,171.0,150.0,2.3,1.1,0.8,2715.0,0.158,0.097,0.049,0.6,0.2,4.3,1.1,536.0,0.206,0.326,204.0,2.0,-0.127,0.4,1.5,0.097,0.8,0.582
